i,j,k,Alt_Si3N4,Anc_Si3N4,lambda,n_eff,A_eff,lambda_nm
1,1,1,0.4,0.5,1.035,1.5944764966723568,3.2331260400002143e-13,1035.0
1,1,2,0.4666666666666667,0.5,1.035,1.6270801281356249,3.3280443563248704e-13,1035.0
1,1,3,0.5333333333333333,0.5,1.035,1.6527780622507475,3.4923927618865593e-13,1035.0
1,1,4,0.6000000000000001,0.5,1.035,1.6726269881882738,3.6843607094412313e-13,1035.0
1,1,5,0.6666666666666667,0.5,1.035,1.6883647124819476,3.893654728898948e-13,1035.0
1,1,6,0.7333333333333334,0.5,1.035,1.701045673599307,4.1191671659227403e-13,1035.0
1,1,7,0.8,0.5,1.035,1.711445095012501,4.3541413736963507e-13,1035.0
1,1,8,0.8666666666666667,0.5,1.035,1.719907068450996,4.591279850378374e-13,1035.0
1,1,9,0.9333333333333333,0.5,1.035,1.7271190280648618,4.839911140912108e-13,1035.0
1,1,10,1.0,0.5,1.035,1.7331038649168864,5.088261005947591e-13,1035.0
1,2,1,0.4,0.6666666666666666,1.035,1.6908407670283911,3.1086763864998726e-13,1035.0
1,2,2,0.4666666666666667,0.6666666666666666,1.035,1.724753480823185,3.270549294422768e-13,1035.0
1,2,3,0.5333333333333333,0.6666666666666666,1.035,1.750733572147989,3.475088864531888e-13,1035.0
1,2,4,0.6000000000000001,0.6666666666666666,1.035,1.7706020521016026,3.6992418735383536e-13,1035.0
1,2,5,0.6666666666666667,0.6666666666666666,1.035,1.7863108140533934,3.937518453330519e-13,1035.0
1,2,6,0.7333333333333334,0.6666666666666666,1.035,1.7987813672545125,4.1847169641372605e-13,1035.0
1,2,7,0.8,0.6666666666666666,1.035,1.8089817765933172,4.440520317492146e-13,1035.0
1,2,8,0.8666666666666667,0.6666666666666666,1.035,1.81730161545435,4.698621779200331e-13,1035.0
1,2,9,0.9333333333333333,0.6666666666666666,1.035,1.8243107922474366,4.96452785151814e-13,1035.0
1,2,10,1.0,0.6666666666666666,1.035,1.8301268801108415,5.229989616507411e-13,1035.0
1,3,1,0.4,0.8333333333333333,1.035,1.7393510988917886,3.331010375443244e-13,1035.0
1,3,2,0.4666666666666667,0.8333333333333333,1.035,1.7733051381008984,3.5363442193412307e-13,1035.0
1,3,3,0.5333333333333333,0.8333333333333333,1.035,1.7990336952307306,3.774952799983221e-13,1035.0
1,3,4,0.6000000000000001,0.8333333333333333,1.035,1.8186914948157717,4.033184968144661e-13,1035.0
1,3,5,0.6666666666666667,0.8333333333333333,1.035,1.8342413089371536,4.306624177588755e-13,1035.0
1,3,6,0.7333333333333334,0.8333333333333333,1.035,1.8464964744603856,4.584661126038907e-13,1035.0
1,3,7,0.8,0.8333333333333333,1.035,1.8565308899739565,4.872411730208377e-13,1035.0
1,3,8,0.8666666666666667,0.8333333333333333,1.035,1.8647319805750289,5.163445434783335e-13,1035.0
1,3,9,0.9333333333333333,0.8333333333333333,1.035,1.8715973806082533,5.459892337375111e-13,1035.0
1,3,10,1.0,0.8333333333333333,1.035,1.8773037807079977,5.756358382330825e-13,1035.0
1,4,1,0.4,1.0,1.035,1.7671481846417494,3.686760216945491e-13,1035.0
1,4,2,0.4666666666666667,1.0,1.035,1.8008569693941574,3.92779392905644e-13,1035.0
1,4,3,0.5333333333333333,1.0,1.035,1.8264186902582982,4.2057323273018154e-13,1035.0
1,4,4,0.6000000000000001,1.0,1.035,1.8458990550351024,4.501989468408408e-13,1035.0
1,4,5,0.6666666666666667,1.0,1.035,1.8612714513086615,4.812576359440722e-13,1035.0
1,4,6,0.7333333333333334,1.0,1.035,1.8734114106189284,5.129376531491064e-13,1035.0
1,4,7,0.8,1.0,1.035,1.8833341139189619,5.455710193704393e-13,1035.0
1,4,8,0.8666666666666667,1.0,1.035,1.8914277340860415,5.784202580210195e-13,1035.0
1,4,9,0.9333333333333333,1.0,1.035,1.8982211144533105,6.120005275562916e-13,1035.0
1,4,10,1.0,1.0,1.035,1.903858377700824,6.45491850197972e-13,1035.0
1,5,1,0.4,1.1666666666666665,1.035,1.784091432682289,4.0916643361387436e-13,1035.0
1,5,2,0.4666666666666667,1.1666666666666665,1.035,1.8176654640047367,4.36996032844159e-13,1035.0
1,5,3,0.5333333333333333,1.1666666666666665,1.035,1.8430911661999145,4.686496159835514e-13,1035.0
1,5,4,0.6000000000000001,1.1666666666666665,1.035,1.8624555060360244,5.022121378825368e-13,1035.0
1,5,5,0.6666666666666667,1.1666666666666665,1.035,1.877734575094179,5.373117009144631e-13,1035.0
1,5,6,0.7333333333333334,1.1666666666666665,1.035,1.8897925433898204,5.730135558717761e-13,1035.0
1,5,7,0.8,1.1666666666666665,1.035,1.8996455008084572,6.097446558792171e-13,1035.0
1,5,8,0.8666666666666667,1.1666666666666665,1.035,1.9076835290639282,6.467017752041646e-13,1035.0
1,5,9,0.9333333333333333,1.1666666666666665,1.035,1.9144266307669726,6.844327666653466e-13,1035.0
1,5,10,1.0,1.1666666666666665,1.035,1.920021487835124,7.220471334784143e-13,1035.0
1,6,1,0.4,1.3333333333333333,1.035,1.795267739350426,4.526371988434124e-13,1035.0
1,6,2,0.4666666666666667,1.3333333333333333,1.035,1.828748806810826,4.843243282985202e-13,1035.0
1,6,3,0.5333333333333333,1.3333333333333333,1.035,1.854068181105841,5.198432785351205e-13,1035.0
1,6,4,0.6000000000000001,1.3333333333333333,1.035,1.8733523086894863,5.574682204282718e-13,1035.0
1,6,5,0.6666666666666667,1.3333333333333333,1.035,1.888571988118534,5.968240023926716e-13,1035.0
1,6,6,0.7333333333333334,1.3333333333333333,1.035,1.9005703476776534,6.366675058550917e-13,1035.0
1,6,7,0.8,1.3333333333333333,1.035,1.9103767557093312,6.776762839649428e-13,1035.0
1,6,8,0.8666666666666667,1.3333333333333333,1.035,1.9183801976753123,7.189724010164578e-13,1035.0
1,6,9,0.9333333333333333,1.3333333333333333,1.035,1.92508752104353,7.610161928081654e-13,1035.0
1,6,10,1.0,1.3333333333333333,1.035,1.9306544013361588,8.029526631377417e-13,1035.0
1,7,1,0.4,1.5,1.035,1.803122461600369,4.986387056388696e-13,1035.0
1,7,2,0.4666666666666667,1.5,1.035,1.8364979522062956,5.33931955602974e-13,1035.0
1,7,3,0.5333333333333333,1.5,1.035,1.8617464091336848,5.735414777832861e-13,1035.0
1,7,4,0.6000000000000001,1.5,1.035,1.880968420307629,6.153334565671067e-13,1035.0
1,7,5,0.6666666666666667,1.5,1.035,1.8961316251946005,6.58915535000176e-13,1035.0
1,7,6,0.7333333333333334,1.5,1.035,1.908091735634947,7.031203547029736e-13,1035.0
1,7,7,0.8,1.5,1.035,1.9178638207434586,7.485538040827081e-13,1035.0
1,7,8,0.8666666666666667,1.5,1.035,1.9258356296086234,7.94232016820701e-13,1035.0
1,7,9,0.9333333333333333,1.5,1.035,1.9325207086940666,8.408090965633951e-13,1035.0
1,7,10,1.0,1.5,1.035,1.9380673229857568,8.87226833562742e-13,1035.0
1,8,1,0.4,1.6666666666666665,1.035,1.8087296037856484,5.45149915221679e-13,1035.0
1,8,2,0.4666666666666667,1.6666666666666665,1.035,1.8420405558049924,5.841823202292161e-13,1035.0
1,8,3,0.5333333333333333,1.6666666666666665,1.035,1.8672341583852388,6.278252582812091e-13,1035.0
1,8,4,0.6000000000000001,1.6666666666666665,1.035,1.8864120192363305,6.737983509565117e-13,1035.0
1,8,5,0.6666666666666667,1.6666666666666665,1.035,1.9015402807354487,7.217085246703663e-13,1035.0
1,8,6,0.7333333333333334,1.6666666666666665,1.035,1.9134713552355587,7.702649448066165e-13,1035.0
1,8,7,0.8,1.6666666666666665,1.035,1.9232191207927165,8.201501683208194e-13,1035.0
1,8,8,0.8666666666666667,1.6666666666666665,1.035,1.9311714199592414,8.702980774056971e-13,1035.0
1,8,9,0.9333333333333333,1.6666666666666665,1.035,1.937839465707226,9.214142113710027e-13,1035.0
1,8,10,1.0,1.6666666666666665,1.035,1.9433717719515424,9.723472517156972e-13,1035.0
1,9,1,0.4,1.8333333333333333,1.035,1.812904208028891,5.922869406213434e-13,1035.0
1,9,2,0.4666666666666667,1.8333333333333333,1.035,1.8461702060957281,6.351704145188187e-13,1035.0
1,9,3,0.5333333333333333,1.8333333333333333,1.035,1.8713192581298608,6.828129977268224e-13,1035.0
1,9,4,0.6000000000000001,1.8333333333333333,1.035,1.890464147228629,7.330035570272405e-13,1035.0
1,9,5,0.6666666666666667,1.8333333333333333,1.035,1.9055682702877461,7.85335576689787e-13,1035.0
1,9,6,0.7333333333333334,1.8333333333333333,1.035,1.9174762740849183,8.382504988128698e-13,1035.0
1,9,7,0.8,1.8333333333333333,1.035,1.9272060340850405,8.92633481800358e-13,1035.0
